flight_id,scheduled_departure,delay_minutes,weather_risk,crew_issue
FL001,2026-01-05T06:00:00+00:00,0,false,false
FL002,2026-01-05T07:15:00+00:00,29,true,true
FL003,2026-01-05T08:30:00+00:00,30,false,false
FL004,2026-01-05T09:45:00+00:00,30,true,true
FL005,2026-01-05T11:00:00+00:00,59,true,false
FL006,2026-01-05T12:15:00+00:00,59,false,true
FL007,2026-01-05T13:30:00+00:00,60,false,false
FL008,2026-01-05T14:45:00+00:00,60,true,false
FL009,2026-01-05T16:00:00+00:00,60,false,true
FL010,2026-01-05T17:15:00+00:00,119,false,false
FL011,2026-01-05T18:30:00+00:00,119,true,true
FL012,2026-01-05T19:45:00+00:00,120,false,false
FL013,2026-01-05T21:00:00+00:00,0,true,false
FL014,2026-01-06T06:00:00+00:00,15,false,true
FL015,2026-01-06T07:15:00+00:00,45,true,true
FL016,2026-01-06T08:30:00+00:00,75,false,false
FL017,2026-01-06T09:45:00+00:00,90,true,false
FL018,2026-01-06T11:00:00+00:00,105,false,true
FL019,2026-01-06T12:15:00+00:00,120,true,true
FL020,2026-01-06T13:30:00+00:00,10,false,false
FL021,2026-01-06T14:45:00+00:00,30,false,true
FL022,2026-01-06T16:00:00+00:00,60,true,true
